frame_counter,prob_free,prob_left,prob_right,prob_blocked,direction,force,rot_force,rot_force_p_component,rot_force_d_component,n_frames_stuck,exploration
73,0.663,0.322,0.014,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
74,0.13,0.848,0.02,0.002,LEFT,0.18,-0.175,-0.149,-0.026,1,False
75,0.025,0.962,0.012,0.001,LEFT,0.18,-0.177,-0.171,-0.006,2,False
76,0.319,0.556,0.122,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
77,0.009,0.96,0.029,0.002,LEFT,0.19,-0.192,-0.167,-0.025,1,False
78,0.064,0.903,0.029,0.004,LEFT,0.15,-0.155,-0.157,0.003,2,False
79,0.526,0.387,0.087,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
80,0.893,0.073,0.033,0.0,FWRD,0.3,0.0,0.0,0.0,0,False
81,0.212,0.11,0.672,0.005,RGHT,0.13,0.131,0.101,0.03,1,False
82,0.207,0.428,0.343,0.023,LEFT,0.05,-0.048,-0.015,-0.032,2,False
83,0.167,0.605,0.091,0.137,LEFT,0.11,-0.114,-0.093,-0.021,3,False
84,0.732,0.241,0.018,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
85,0.938,0.043,0.018,0.001,FWRD,0.3,0.0,0.0,0.0,0,False
86,0.547,0.323,0.054,0.076,FWRD,0.3,0.0,0.0,0.0,0,False
87,0.846,0.085,0.061,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
88,0.648,0.254,0.093,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
89,0.69,0.08,0.22,0.01,FWRD,0.3,0.0,0.0,0.0,0,False
90,0.446,0.376,0.147,0.031,FWRD,0.3,0.0,0.0,0.0,0,False
91,0.819,0.096,0.078,0.007,FWRD,0.3,0.0,0.0,0.0,0,False
92,0.717,0.155,0.12,0.009,FWRD,0.3,0.0,0.0,0.0,0,False
93,0.71,0.165,0.105,0.02,FWRD,0.3,0.0,0.0,0.0,0,False
94,0.768,0.052,0.173,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
95,0.895,0.021,0.082,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
96,0.763,0.046,0.185,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
97,0.37,0.02,0.492,0.119,FWRD,0.3,0.0,0.0,0.0,0,False
98,0.356,0.03,0.528,0.086,FWRD,0.3,0.0,0.0,0.0,0,False
99,0.781,0.034,0.168,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
100,0.722,0.047,0.226,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
101,0.743,0.029,0.226,0.002,FWRD,0.3,0.0,0.0,0.0,0,False
102,0.576,0.07,0.346,0.008,FWRD,0.3,0.0,0.0,0.0,0,False
103,0.781,0.068,0.139,0.013,FWRD,0.3,0.0,0.0,0.0,0,False
104,0.515,0.286,0.18,0.019,FWRD,0.3,0.0,0.0,0.0,0,False
105,0.491,0.063,0.434,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
106,0.57,0.178,0.225,0.027,FWRD,0.3,0.0,0.0,0.0,0,False
107,0.531,0.24,0.193,0.036,FWRD,0.3,0.0,0.0,0.0,0,False
108,0.829,0.099,0.066,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
109,0.698,0.156,0.14,0.006,FWRD,0.3,0.0,0.0,0.0,0,False
110,0.728,0.193,0.053,0.026,FWRD,0.3,0.0,0.0,0.0,0,False
111,0.617,0.165,0.135,0.083,FWRD,0.3,0.0,0.0,0.0,0,False
112,0.615,0.292,0.06,0.033,FWRD,0.3,0.0,0.0,0.0,0,False
113,0.595,0.133,0.245,0.027,FWRD,0.3,0.0,0.0,0.0,0,False
114,0.616,0.205,0.117,0.062,FWRD,0.3,0.0,0.0,0.0,0,False
115,0.649,0.098,0.153,0.1,FWRD,0.3,0.0,0.0,0.0,0,False
116,0.775,0.102,0.1,0.023,FWRD,0.3,0.0,0.0,0.0,0,False
117,0.782,0.135,0.055,0.027,FWRD,0.3,0.0,0.0,0.0,0,False
118,0.806,0.129,0.054,0.011,FWRD,0.3,0.0,0.0,0.0,0,False
119,0.741,0.153,0.047,0.059,FWRD,0.3,0.0,0.0,0.0,0,False
120,0.783,0.122,0.071,0.024,FWRD,0.3,0.0,0.0,0.0,0,False
121,0.265,0.263,0.211,0.261,FWRD,0.3,0.0,0.0,0.0,0,False
122,0.632,0.213,0.069,0.086,FWRD,0.3,0.0,0.0,0.0,0,False
123,0.528,0.302,0.044,0.126,FWRD,0.3,0.0,0.0,0.0,0,False
124,0.07,0.886,0.02,0.024,LEFT,0.19,-0.186,-0.156,-0.03,1,False
125,0.021,0.792,0.047,0.14,LEFT,0.13,-0.128,-0.134,0.006,2,False
126,0.001,0.789,0.019,0.19,LEFT,0.14,-0.14,-0.139,-0.001,3,False
127,0.0,0.914,0.007,0.078,LEFT,0.17,-0.17,-0.163,-0.007,4,False
128,0.0,0.914,0.019,0.066,LEFT,0.16,-0.16,-0.161,0.001,5,False
129,0.009,0.632,0.023,0.335,LEFT,0.1,-0.095,-0.11,0.014,6,False
130,0.05,0.814,0.046,0.09,LEFT,0.15,-0.146,-0.138,-0.008,7,False
131,0.067,0.693,0.058,0.182,LEFT,0.11,-0.108,-0.114,0.007,8,False
132,0.178,0.708,0.041,0.073,LEFT,0.12,-0.122,-0.12,-0.002,9,False
133,0.196,0.649,0.051,0.104,LEFT,0.1,-0.104,-0.108,0.003,10,False
134,0.425,0.463,0.061,0.051,FWRD,0.3,0.0,0.0,0.0,0,False
135,0.166,0.636,0.111,0.087,LEFT,0.1,-0.101,-0.095,-0.006,1,False
136,0.472,0.471,0.02,0.037,FWRD,0.3,0.0,0.0,0.0,0,False
137,0.587,0.395,0.013,0.005,FWRD,0.3,0.0,0.0,0.0,0,False
138,0.494,0.405,0.057,0.044,FWRD,0.3,0.0,0.0,0.0,0,False
139,0.389,0.513,0.081,0.016,FWRD,0.3,0.0,0.0,0.0,0,False
